商户ID,商户代码,终端号,商户名,省份,市,区,纬度,经度,用户地址,商圈信息
677581,105701000004693,10000182,,贵州省,贵阳市,南明区,26.558609000000004,106.68262800000001,贵州省贵阳市南明区黄岭路,待定
677582,102701059981060,10079021,,贵州省,贵阳市,南明区,26.580547999999997,106.712841,贵州省贵阳市南明区瑞金南路32-4,待定
677583,898520141110003,01141530,,贵州省,贵阳市,南明区,26.577553,106.71606299999999,贵州省贵阳市南明区杏坛巷1号,待定
677584,8495201539900XP,M3880482,,贵州省,贵阳市,南明区,26.558769,106.67876799999999,贵州省贵阳市南明区延安南路,待定
677585,443701054110073,01090107,,贵州省,贵阳市,南明区,26.561134999999997,106.687891,贵州省贵阳市南明区黄岭路53号,待定
677586,898520141110003,01142031,,贵州省,贵阳市,南明区,26.559519,106.671869,贵州省贵阳市南明区X125(金竹路),待定
677587,102701053111076,41080131,,贵州省,贵阳市,南明区,26.562761,106.72306699999999,贵州省贵阳市南明区南厂路94-7号,待定
677588,8495201509400MX,M3146199,,贵州省,贵阳市,南明区,26.552369,106.690242,贵州省贵阳市南明区车水路,待定
677589,8495201569901MY,M4212555,,贵州省,贵阳市,南明区,26.554471000000003,106.67125300000001,贵州省贵阳市南明区西二环,待定
677590,898520159120523,11700433,,贵州省,贵阳市,南明区,26.54774,106.68481299999999,贵州省贵阳市南明区小车河路,待定
677591,443701054110119,10090114,,贵州省,贵阳市,南明区,26.559323,106.671957,贵州省贵阳市南明区X125(金竹路),待定
677592,102701059981060,10079017,,贵州省,贵阳市,南明区,26.567373999999997,106.713118,贵州省贵阳市南明区遵义路187,待定
677593,84952017011009Y,M3241301,,贵州省,贵阳市,南明区,26.562778,106.686502,贵州省贵阳市南明区都会大道,待定
677594,105701000002072,00089063,,贵州省,贵阳市,云岩区,26.580325,106.744529,贵州省贵阳市云岩区红岩路,待定
677595,898520141110003,01142318,,贵州省,贵阳市,云岩区,26.578564,106.704824,贵州省贵阳市云岩区浣纱路295号,待定
677596,105000050941174,10001524,,贵州省,贵阳市,南明区,26.568608,106.68834299999999,贵州省贵阳市南明区遵义中路,待定
677597,105000253111751,10004764,,贵州省,贵阳市,南明区,26.577571000000002,106.706925,贵州省贵阳市南明区溪大道北段45号,待定
677598,105000253112053,10004983,,贵州省,贵阳市,南明区,26.577902,106.707026,贵州省贵阳市南明区花溪大道56-6号,待定
677599,105000253111691,10004768,,贵州省,贵阳市,南明区,26.577571000000002,106.706925,贵州省贵阳市南明区溪大道北段45号,待定
677600,102701070110351,10298013,,贵州省,贵阳市,南明区,26.576486,106.71305,贵州省贵阳市南明区文化路96-6号,待定
677601,105000056998273,10004614,,贵州省,贵阳市,南明区,26.57776500000001,106.70699499999999,贵州省贵阳市南明区花溪大道56-6号,待定
677602,898520154111305,15095092,,贵州省,贵阳市,南明区,26.573090999999998,106.690197,贵州省贵阳市南明区松山南路,待定
677603,443701054110117,20010106,,贵州省,贵阳市,南明区,26.552738,106.697818,贵州省贵阳市南明区桃园路,待定
677604,102701059981060,10079001,,贵州省,贵阳市,南明区,26.562508,106.700449,贵州省贵阳市南明区解放西路216号,待定
677605,105000253112537,10005449,,贵州省,贵阳市,南明区,26.577909000000002,106.707027,贵州省贵阳市南明区花溪大道56-6号,待定
677606,105000253112480,10005433,,贵州省,贵阳市,南明区,26.577894,106.707024,贵州省贵阳市南明区花溪大道56-6号,待定
677607,84952015813009C,M4092926,,贵州省,贵阳市,南明区,26.562057,106.653089,贵州省贵阳市南明区,待定
677608,898520159120523,11700212,,贵州省,贵阳市,南明区,26.563202,106.69348899999999,贵州省贵阳市南明区艺校立交,待定
677609,302701053110006,03020698,,贵州省,贵阳市,南明区,26.576419,106.71998799999999,贵州省贵阳市南明区遵义路9号,待定
677610,105000072988275,10007682,,贵州省,贵阳市,南明区,26.589015000000003,106.76141899999999,贵州省贵阳市南明区水东路,待定
677611,84952015094003P,M4163801,,贵州省,贵阳市,南明区,26.547679,106.683022,贵州省贵阳市南明区小车河路,待定
677612,443701054110059,10050103,,贵州省,贵阳市,南明区,26.563926000000002,106.724345,贵州省贵阳市南明区南厂路107号,待定
677613,898520141110003,01141228,,贵州省,贵阳市,南明区,26.58008,106.714983,贵州省贵阳市南明区都司路75,待定
677614,443701054110078,10260107,,贵州省,贵阳市,南明区,26.552783,106.670033,贵州省贵阳市南明区,待定
677615,102701053111076,41080117,,贵州省,贵阳市,南明区,26.562548,106.722885,贵州省贵阳市南明区南厂路,待定
677616,105000056998272,10004613,,贵州省,贵阳市,南明区,26.577761,106.706956,贵州省贵阳市南明区花溪大道56-6号,待定
677617,898520141110003,01142438,,贵州省,贵阳市,云岩区,26.583761,106.730189,贵州省贵阳市云岩区中山东路2号,待定
677618,105000253112455,10005413,,贵州省,贵阳市,南明区,26.577885,106.70693500000002,贵州省贵阳市南明区花溪大道56-6号,待定
677619,8495201581204DZ,M3194234,,贵州省,贵阳市,南明区,26.567928000000002,106.676503,贵州省贵阳市南明区杨家山隧道,待定
677620,898520154111305,15185181,,贵州省,贵阳市,云岩区,26.57825,106.745871,贵州省贵阳市云岩区红岩路11,待定
677621,102701059981060,10079026,,贵州省,贵阳市,南明区,26.561918,106.68578400000001,贵州省贵阳市南明区公园中路,待定
677622,898520193110160,01188687,,贵州省,贵阳市,南明区,26.57835,106.710251,贵州省贵阳市南明区瑞金南路71,待定
677623,105000059126788,10009577,,贵州省,贵阳市,南明区,26.569883,106.69371100000001,贵州省贵阳市南明区花果园大街,待定
677624,8495201569900TR,M3241301,,贵州省,贵阳市,南明区,26.562778,106.686501,贵州省贵阳市南明区都会大道,待定
677625,8495201729800A5,M4110556,,贵州省,贵阳市,南明区,26.554471999999997,106.66925900000001,贵州省贵阳市南明区X125(金竹路),待定
677626,105000253112447,10005417,,贵州省,贵阳市,南明区,26.577571000000002,106.706925,贵州省贵阳市南明区溪大道北段45号,待定
677627,84952017298003I,M4092926,,贵州省,贵阳市,南明区,26.562046999999996,106.65312,贵州省贵阳市南明区,待定
677628,105000253111770,10004834,,贵州省,贵阳市,南明区,26.57776500000001,106.70699499999999,贵州省贵阳市南明区花溪大道56-6号,待定
677629,8495201569900JB,M3194234,,贵州省,贵阳市,南明区,26.557345,106.68263700000001,贵州省贵阳市南明区黄岭路,待定
677630,105701000004693,10000156,,贵州省,贵阳市,南明区,26.57903,106.71511699999999,贵州省贵阳市南明区都司路126号,待定
677631,898520141110003,01142518,,贵州省,贵阳市,南明区,26.562278999999997,106.702459,贵州省贵阳市南明区南冲巷24,待定
677632,8495201701103TA,M1966104,,贵州省,贵阳市,南明区,26.559639,106.68666599999999,贵州省贵阳市南明区黄岭路57-1,待定
677633,84952055722001Q,73656204,,贵州省,贵阳市,南明区,26.575428999999996,106.697736,贵州省贵阳市南明区松花路,待定
677634,898520141110003,01143170,,贵州省,贵阳市,南明区,26.579437,106.71524,贵州省贵阳市南明区都司路69,待定
677635,105000358127146,10010561,,贵州省,贵阳市,南明区,26.574398,106.72616799999999,贵州省贵阳市南明区阳明路1号,待定
677636,102701057340353,01080209,,贵州省,贵阳市,南明区,26.580605,106.71304099999999,贵州省贵阳市南明区瑞金南路32-3,待定
677637,QRC485070000503,01080209,,贵州省,贵阳市,南明区,26.573865,106.715566,贵州省贵阳市南明区瑞金南路131号,待定
677638,QRC482200007715,01080209,,贵州省,贵阳市,南明区,26.558028999999998,106.66288899999999,贵州省贵阳市南明区,待定
677639,102701082410029,01080209,,贵州省,贵阳市,南明区,26.580236,106.71264599999999,贵州省贵阳市南明区都司路101,待定
677640,105701000002015,00086195,,贵州省,贵阳市,南明区,26.560306,106.68479099999999,贵州省贵阳市南明区公园中路,待定
677641,102701059770240,01080209,,贵州省,贵阳市,南明区,26.580725,106.712523,贵州省贵阳市南明区瑞金南路32-4,待定
677642,QRC482200009056,01080209,,贵州省,贵阳市,南明区,26.561798,106.674901,贵州省贵阳市南明区小车河路,待定
677643,QRC482200006025,01080209,,贵州省,贵阳市,南明区,26.587952,106.760908,贵州省贵阳市南明区,待定
677644,102701007630358,01080209,,贵州省,贵阳市,南明区,26.580739,106.712699,贵州省贵阳市南明区瑞金南路32-3,待定
677645,QRC482200006582,01080209,,贵州省,贵阳市,南明区,26.579603000000002,106.73113799999999,贵州省贵阳市南明区都司高架桥路,待定
677646,102701059770241,01080209,,贵州省,贵阳市,南明区,26.580229,106.71302,贵州省贵阳市南明区都司路95,待定
677647,102701082990623,01080209,,贵州省,贵阳市,南明区,26.580609999999997,106.71303700000001,贵州省贵阳市南明区瑞金南路32-3,待定
677648,105000158124675,00106010,,贵州省,贵阳市,南明区,26.589146000000003,106.760205,贵州省贵阳市南明区水东路,待定
677649,102701050391987,01080209,,贵州省,贵阳市,南明区,26.580626000000002,106.713035,贵州省贵阳市南明区瑞金南路32-3,待定
677650,102701072781702,01080209,,贵州省,贵阳市,南明区,26.555119,106.74061699999999,贵州省贵阳市南明区,待定
677651,QRC480252015664,00007554,,贵州省,贵阳市,南明区,26.580212,106.713499,贵州省贵阳市南明区都司路91,待定
677652,QRC482200003921,01080209,,贵州省,贵阳市,南明区,26.511191999999998,106.732977,贵州省贵阳市南明区G321(南二环),待定
677653,QRC485070000588,01080209,,贵州省,贵阳市,南明区,26.558969,106.68263700000001,贵州省贵阳市南明区黄岭路59-1,待定
677654,QRC480252079803,00065046,,贵州省,贵阳市,南明区,26.580890999999998,106.73171699999999,贵州省贵阳市南明区都司高架桥路,待定
677655,102701048161368,01080209,,贵州省,贵阳市,南明区,26.580633000000002,106.71303400000001,贵州省贵阳市南明区瑞金中路32,待定
677656,QRC480252039125,01080209,,贵州省,贵阳市,南明区,26.566871999999996,106.684848,贵州省贵阳市南明区公园中路,待定
677657,102701055110867,01080209,,贵州省,贵阳市,南明区,26.580683,106.712997,贵州省贵阳市南明区瑞金中路32,待定
677658,QRC482200004220,01080209,,贵州省,贵阳市,南明区,26.562023999999997,106.73313,贵州省贵阳市南明区嘉润路45号,待定
677659,102701053310402,01080209,,贵州省,贵阳市,南明区,26.550778,106.671595,贵州省贵阳市南明区,待定
677660,822701053990324,angzh003,,贵州省,贵阳市,南明区,26.576439,106.71291299999999,贵州省贵阳市南明区文化路96-6号,待定
677661,105000056996745,10002994,,贵州省,贵阳市,南明区,26.575712,106.72813700000002,贵州省贵阳市南明区西湖路68号,待定
677662,105000241218342,10010885,,贵州省,贵阳市,南明区,26.565399,106.684467,贵州省贵阳市南明区都会大道,待定
677663,QRC482611112585,01080209,,贵州省,贵阳市,南明区,26.554315999999996,106.687375,贵州省贵阳市南明区,待定
677664,102701056910016,01080209,,贵州省,贵阳市,南明区,26.580677,106.713002,贵州省贵阳市南明区瑞金中路32,待定
677665,QRC482200008380,01080209,,贵州省,贵阳市,南明区,26.557064,106.708928,贵州省贵阳市南明区玉田巷24号,待定
677666,102701082990624,01080209,,贵州省,贵阳市,南明区,26.580695000000002,106.71301399999999,贵州省贵阳市南明区瑞金中路32,待定
677667,QRC480252079889,00076370,,贵州省,贵阳市,南明区,26.579687,106.732248,贵州省贵阳市南明区宝山北路2号,待定
677668,QRC485070000655,01080209,,贵州省,贵阳市,南明区,26.556798999999998,106.68053400000001,贵州省贵阳市南明区,待定
677669,105000341211106,10012867,,贵州省,贵阳市,南明区,26.559832,106.735721,贵州省贵阳市南明区嘉润路69号,待定
677670,102701054990613,01080209,,贵州省,贵阳市,南明区,26.512638,106.733419,贵州省贵阳市南明区G321(南二环),待定
677671,102701073921113,01080209,,贵州省,贵阳市,南明区,26.580659999999998,106.71303300000001,贵州省贵阳市南明区瑞金中路32,待定
677672,QRC480200005537,00000546,,贵州省,贵阳市,南明区,26.573231,106.70954099999999,贵州省贵阳市南明区青云路,待定
677673,QRC482200006597,01080209,,贵州省,贵阳市,南明区,26.558046,106.66286200000002,贵州省贵阳市南明区,待定
677674,QRC485070000994,01080209,,贵州省,贵阳市,南明区,26.573915000000003,106.71552199999999,贵州省贵阳市南明区瑞金南路131号,待定
677675,QRC482200005504,01080209,,贵州省,贵阳市,南明区,26.577543,106.731998,贵州省贵阳市南明区观水路67号,待定
677676,102702052510030,01080209,,贵州省,贵阳市,南明区,26.566576,106.709926,贵州省贵阳市南明区遵义路318号,待定
677677,102701072781701,01080209,,贵州省,贵阳市,南明区,26.580396999999998,106.712929,贵州省贵阳市南明区都司路95,待定
677678,QRC482100047900,00042346,,贵州省,贵阳市,南明区,26.579029,106.715553,贵州省贵阳市南明区都司路126号,待定
677679,102701073990801,01080209,,贵州省,贵阳市,南明区,26.580606,106.71303400000001,贵州省贵阳市南明区瑞金南路32-3,待定
677680,102702089120075,01080209,,贵州省,贵阳市,南明区,26.573078000000002,106.70811599999999,贵州省贵阳市南明区贵惠路62号,待定
677681,QRC482200007175,01080209,,贵州省,贵阳市,南明区,26.561562,106.73276899999999,贵州省贵阳市南明区嘉润路,待定
677682,105000658122117,10017629,,贵州省,贵阳市,云岩区,26.584486,106.74226200000001,贵州省贵阳市云岩区仙人洞路,待定
677683,102701050720564,01080209,,贵州省,贵阳市,南明区,26.581213,106.71253600000001,贵州省贵阳市南明区瑞金中路10号,待定
677684,102701065130370,01080209,,贵州省,贵阳市,南明区,26.554003,106.742423,贵州省贵阳市南明区东站立交,待定
677685,QRC482200009102,01080209,,贵州省,贵阳市,南明区,26.560499,106.678859,贵州省贵阳市南明区太金线,待定
677686,QRC482200001848,01080209,,贵州省,贵阳市,南明区,26.557997999999998,106.66293999999999,贵州省贵阳市南明区,待定
677687,102701048161369,01080209,,贵州省,贵阳市,南明区,26.58065,106.71299599999999,贵州省贵阳市南明区瑞金南路32-3,待定
677688,QRC482200006129,01080209,,贵州省,贵阳市,云岩区,26.582535999999998,106.74723700000001,贵州省贵阳市云岩区水东路,待定
677689,QRC482200002136,01080209,,贵州省,贵阳市,南明区,26.578288,106.717202,贵州省贵阳市南明区复兴巷1号,待定
677690,QRC480252012093,00081412,,贵州省,贵阳市,南明区,26.557237,106.708996,贵州省贵阳市南明区玉田巷24号,待定
677691,QRC482200005924,01080209,,贵州省,贵阳市,南明区,26.552497,106.707246,贵州省贵阳市南明区朝阳巷,待定
677692,QRC482200005651,01080209,,贵州省,贵阳市,云岩区,26.578395,106.701275,贵州省贵阳市云岩区花果园街76号,待定
677693,102701072950143,01080209,,贵州省,贵阳市,南明区,26.580629,106.71303999999999,贵州省贵阳市南明区瑞金中路32,待定
677694,QRC482200006101,01080209,,贵州省,贵阳市,南明区,26.56353,106.672623,贵州省贵阳市南明区甲秀南路,待定
677695,QRC480252071637,01080209,,贵州省,贵阳市,南明区,26.58053,106.73121200000001,贵州省贵阳市南明区都司高架桥路,待定
677696,102701051110215,01080209,,贵州省,贵阳市,南明区,26.567220000000002,106.713246,贵州省贵阳市南明区遵义路64号,待定
677697,QRC480252084802,00079628,,贵州省,贵阳市,南明区,26.573906,106.70401799999999,贵州省贵阳市南明区贵惠路232号,待定
677698,102701056910019,01080209,,贵州省,贵阳市,南明区,26.580686,106.71302,贵州省贵阳市南明区瑞金中路32,待定
677699,QRC485070000801,01080209,,贵州省,贵阳市,南明区,26.573727,106.715643,贵州省贵阳市南明区瑞金南路131号,待定
677700,102701073720220,01080209,,贵州省,贵阳市,南明区,26.580651,106.71303600000002,贵州省贵阳市南明区瑞金中路32,待定
677701,QRC482611114661,00003584,,贵州省,贵阳市,南明区,26.557924,106.68346299999999,贵州省贵阳市南明区黄岭路,待定
677702,102701050391988,01080209,,贵州省,贵阳市,南明区,26.58056,106.71303999999999,贵州省贵阳市南明区瑞金南路32-3,待定
677703,105000056995812,10000650,,贵州省,贵阳市,南明区,26.56897,106.691948,贵州省贵阳市南明区花果园大街,待定
677704,QRC485070000646,01080209,,贵州省,贵阳市,南明区,26.560903999999997,106.681418,贵州省贵阳市南明区太金线,待定
677705,QRC482200005190,01080209,,贵州省,贵阳市,南明区,26.555452000000002,106.669854,贵州省贵阳市南明区X125(金竹路),待定
677706,QRC482200000127,01080209,,贵州省,贵阳市,花溪区,26.53469500000001,106.71045500000001,贵州省贵阳市花溪区黔江路159,待定
677707,102701073110705,01080209,,贵州省,贵阳市,南明区,26.558796,106.710204,贵州省贵阳市南明区玉溪路10号,待定
